04.10.2022 - 13:00: 	Введено 1 рациональное число:  	= Ok
04.10.2022 - 13:00: 	Введено 2 рациональное число:  	= Ok
04.10.2022 - 13:00: 	9.0 / 0.0 	= Деление на 0 невозможно!
04.10.2022 - 13:00: 	Для выбора калькулятора рациональных чисел нажмите 1, для комплексных - 2:  	= Ждем ответ.
04.10.2022 - 13:00: 	Введено значение:  	= 2
04.10.2022 - 13:00: 	Введено 2 комплексное число:  	= [5.0, 6.0]
04.10.2022 - 13:00: 	Введено 4 комплексное число:  	= [5.0, 6.0, 0.0, 0.0]
04.10.2022 - 13:00: 	Введено 4 комплексное число:  	= [5.0, 6.0, 0.0, 0.0]
04.10.2022 - 13:00: 	(5+6j) / 0j 	= Деление на 0 невозможно!
04.10.2022 - 13:00: 	Для выбора калькулятора рациональных чисел нажмите 1, для комплексных - 2:  	= Ждем ответ.
04.10.2022 - 13:00: 	Введено значение:  	= 1
04.10.2022 - 13:00: 	Сделан неверный выбор. Повторный запрос.  	= False
04.10.2022 - 13:00: 	Введено 1 рациональное число:  	= Ok
04.10.2022 - 13:00: 	Сделан неверный выбор. Повторный запрос.  	= False
04.10.2022 - 13:00: 	Введено 2 рациональное число:  	= Ok
04.10.2022 - 13:00: 	1.0 + 2.0 	= 3.0
